title,price,age,quantity,link
Штиль (Tranquility),37.00 руб.,Возраст игроков 8+,Количество игроков 1-5,http://www.nastolki.by/все-игры/штиль-tranquility/
Погоня за "Авророй": набор промокарт "Мутанты",3.00 руб.,Возраст игроков 13+,Количество игроков 1-4,http://www.nastolki.by/все-игры/погоня-за-авророй-набор-промокарт-мутанты/
Погоня за "Авророй": Проект "Афина" (Last Aurora: Project Athena),49.00 руб.,Возраст игроков 13+,Количество игроков 2-4,http://www.nastolki.by/все-игры/погоня-за-авророй-проект-афина-last-aurora-project-athena/
Таверны Тифенталя (The Taverns of Tiefenthal),124.00 руб.,Возраст игроков 18+,Количество игроков 2-4,http://www.nastolki.by/все-игры/таверны-тифенталя-the-taverns-of-tiefenthal/
Выше и ниже (Above and Below),120.00 руб.,Возраст игроков 13+,Количество игроков 2-4,http://www.nastolki.by/все-игры/выше-и-ниже-above-and-below/
Экспансия. Век паруса (Endeavor: Age of Sail),170.00 руб.,Возраст игроков 14+,Количество игроков 2-5,http://www.nastolki.by/все-игры/экспансия.-век-паруса-endeavor-age-of-sail/
Келюс 1303 (Caylus 1303),150.00 руб.,Возраст игроков 14+,Количество игроков 2-5,http://www.nastolki.by/все-игры/келюс-1303-caylus-1303/
Дилемма короля (The King's Dilemma),227.00 руб.,Возраст игроков 14+,Количество игроков 3-5,http://www.nastolki.by/все-игры/дилемма-короля-the-kings-dilemma/
Анахронность (Anachrony),189.00 руб.,Возраст игроков 15+,Количество игроков 1-4,http://www.nastolki.by/все-игры/анахронность-anachrony/
Погоня за "Авророй" (Last Aurora),113.00 руб.,Возраст игроков 13+,Количество игроков 1-4,http://www.nastolki.by/все-игры/погоня-за-авророй-last-aurora/
Марко Поло 2: На службе хана (Marco Polo II: In The Service Of The Khan),170.00 руб.,Возраст игроков 12+,Количество игроков 2-4,http://www.nastolki.by/все-игры/марко-поло-2-на-службе-хана-marco-polo-ii-in-the-service-of-the-khan/
Колонизаторы. Юбилейное издание (Catan: 25th Anniversary Edition),227.00 руб.,Возраст игроков 11+,Количество игроков 3-4,http://www.nastolki.by/все-игры/колонизаторы.-юбилейное-издание-catan-25th-anniversary-edition/
Этот безумный мир (Эврикус),103.00 руб.,Возраст игроков 12+,Количество игроков 1-5,http://www.nastolki.by/все-игры/этот-безумный-мир-эврикус/
Эверделл: Жемчужный ручей (Everdell: Pearlbrook),151.00 руб.,Возраст игроков 10+,Количество игроков 1-4,http://www.nastolki.by/все-игры/эверделл-жемчужный-ручей-everdell-pearlbrook/
Виноделие. Долина Рейна (Viticulture: Visit from the Rhine Valley),46.00 руб.,Возраст игроков 12+,Количество игроков 1-6,http://www.nastolki.by/все-игры/виноделие.-долина-рейна-viticulture-visit-from-the-rhine-valley/
Эра. Средневековье (Era: Medieval Age),170.00 руб.,Возраст игроков 10+,Количество игроков 1-4,http://www.nastolki.by/все-игры/эра.-средневековье-era-medieval-age/
Терра Мистика: Торговцы морей (Terra Mystica: Merchants of the Seas),159.00 руб.,Возраст игроков 14+,Количество игроков 2-5,http://www.nastolki.by/все-игры/терра-мистика-торговцы-морей-terra-mystica-merchants-of-the-seas/
Маракайбо (Maracaibo),189.00 руб.,Возраст игроков 12+,Количество игроков 1-4,http://www.nastolki.by/все-игры/маракайбо-maracaibo/
Индустрия (Furnace),75.00 руб.,Возраст игроков 12+,Количество игроков 2-4,http://www.nastolki.by/все-игры/индустрия-furnace/
Деньги (Money!),16.50 руб.,Возраст игроков 10+,Количество игроков 3-5,http://www.nastolki.by/все-игры/деньги-money/
Цивилизация Сида Мейера: Новый рассвет. Терра Инкогнита (Sid Meier's Civilization: A New Dawn - Terra Incognita),132.00 руб.,Возраст игроков 15+,Количество игроков 2-5,http://www.nastolki.by/все-игры/цивилизация-сида-мейера-новый-рассвет.-терра-инкогнита-sid-meiers-civilization-a-new-dawn-terra-incognita/
51 Штат. Полный набор (51st State),85.00 руб.,Возраст игроков 12+,Количество игроков 1-4,http://www.nastolki.by/все-игры/51-штат.-полный-набор-51st-state/
Поселенцы. Северные Империи. Римские знамена (дополнение),53.00 руб.,Возраст игроков 10+,Количество игроков 1-4,http://www.nastolki.by/все-игры/поселенцы.-северные-империи.-римские-знамена-дополнение/
